Time,User,Checklist,Event, checked
2022-1-4_11-25-15,177575,adrenalin,1. Adrenalin intramuscular,9
2022-1-4_11-25-17,177575,adrenalin,4. Ringer?,9
2022-1-4_11-26-23,177575,adrenalin,6. Adrenalin intravenous?,9
2022-1-4_11-26-24,177575,adrenalin,7. Glucagon intravenous?,9
2022-1-4_11-26-24,177575,adrenalin,6. Adrenalin intravenous?,9
2022-1-4_11-26-24,177575,adrenalin,5. Ventoline?,9
2022-1-4_11-26-25,177575,adrenalin,4. Ringer?,9
2022-1-4_11-26-25,177575,adrenalin,3. Oxygen,9
2022-1-4_11-26-26,177575,adrenalin,2. Supine or lateral decubitus?,9
2022-1-4_11-26-26,177575,adrenalin,1. Adrenalin intramuscular,9
2022-1-4_11-26-28,177575,adrenalin,10. Inläggning Mava,9
2022-1-4_11-26-34,177575,adrenalin,3. Oxygen,9
